date,Location,total_cases,new_cases,total_death,new_death,icu,hosp,,,,,,,,,,,,,
11/27/23,USA,103436829,,1154688,,2129,17941,,,,,,,,,,,6.293,17941,53.034
11/28/23,USA,103436829,,1154688,,2193,18338,,,,,,,,,,,6.483,18338,54.208
11/29/23,USA,103436829,,1154688,,2231,18356,,,,,,,,,,,6.595,18356,54.261
11/30/23,USA,103436829,,1154688,,2253,18444,,,,,,,,,,,6.66,18444,54.521
12/1/23,USA,103436829,,1154688,,2157,18107,,,,,,,,,,,6.376,18107,53.525
12/2/23,USA,103436829,,1154688,,2193,18084,,,,,,,,,,,6.483,18084,53.457
12/3/23,USA,103436829,,1156369,,2204,18567,,,,,,,,,,,6.515,18567,54.885
12/4/23,USA,103436829,,1156369,,2244,19473,,,,,,,,,,,6.633,19473,57.563
12/5/23,USA,103436829,,1156369,,2323,19672,,,,,,,,,,,6.867,19672,58.151
12/6/23,USA,103436829,,1156369,,2304,19531,,,,,,,,,,,6.811,19531,57.735
12/7/23,USA,103436829,,1156369,,2351,19429,,,,,,,,,,,6.95,19429,57.433
12/8/23,USA,103436829,,1156369,,2370,19272,,,,,,,,,,,7.006,19272,56.969
12/9/23,USA,103436829,,1156369,,2367,18994,,,,,,,,,,,6.997,18994,56.147
12/10/23,USA,103436829,,1158116,,2425,19832,,,,,,,,,,,7.168,19832,58.624
12/11/23,USA,103436829,,1158116,,2523,20714,,,,,,,,,,,7.458,20714,61.232
12/12/23,USA,103436829,,1158116,,2565,20723,,,,,,,,,,,7.582,20723,61.258
12/13/23,USA,103436829,,1158116,,2587,20735,,,,,,,,,,,7.647,20735,61.294
12/14/23,USA,103436829,,1158116,,2530,20819,,,,,,,,,,,7.479,20819,61.542
12/15/23,USA,103436829,,1158116,,2496,20658,,,,,,,,,,,7.378,20658,61.066
12/16/23,USA,103436829,,1158116,,2408,20415,,,,,,,,,,,7.118,20415,60.348
12/17/23,USA,103436829,,1159894,,2482,21141,,,,,,,,,,,7.337,21141,62.494
12/18/23,USA,103436829,,1159894,,2703,22569,,,,,,,,,,,7.99,22569,66.715
12/19/23,USA,103436829,,1159894,,2835,23110,,,,,,,,,,,8.38,23110,68.314
12/20/23,USA,103436829,,1159894,,2840,23408,,,,,,,,,,,8.395,23408,69.195
12/21/23,USA,103436829,,1159894,,2876,23624,,,,,,,,,,,8.502,23624,69.834
12/22/23,USA,103436829,,1159894,,2907,23527,,,,,,,,,,,8.593,23527,69.547
12/23/23,USA,103436829,,1159894,,2796,22833,,,,,,,,,,,8.265,22833,67.495
12/24/23,USA,103436829,,1161732,,2894,23392,,,,,,,,,,,8.555,23392,69.148
12/25/23,USA,103436829,,1161732,,2989,24338,,,,,,,,,,,8.836,24338,71.944
12/26/23,USA,103436829,,1161732,,3110,25979,,,,,,,,,,,9.193,25979,76.795
12/27/23,USA,103436829,,1161732,,3287,27046,,,,,,,,,,,9.717,27046,79.949
12/28/23,USA,103436829,,1161732,,3400,28108,,,,,,,,,,,10.051,28108,83.089
12/29/23,USA,103436829,,1161732,,3393,28850,,,,,,,,,,,10.03,28850,85.282
12/30/23,USA,103436829,,1161732,,3293,28913,,,,,,,,,,,9.734,28913,85.468
12/31/23,USA,103436829,,1163811,,3367,29496,,,,,,,,,,,9.953,29496,87.192
1/1/24,USA,103436829,,1163811,,3490,30333,,,,,,,,,,,10.317,30333,89.666
1/2/24,USA,103436829,,1163811,,3605,31416,,,,,,,,,,,10.657,31416,92.867
1/3/24,USA,103436829,,1163811,,3727,31523,,,,,,,,,,,11.017,31523,93.183
1/4/24,USA,103436829,,1163811,,3704,30973,,,,,,,,,,,10.949,30973,91.558
1/5/24,USA,103436829,,1163811,,3709,30366,,,,,,,,,,,10.964,30366,89.763
1/6/24,USA,103436829,,1163811,,3593,29430,,,,,,,,,,,10.621,29430,86.996
1/7/24,USA,103436829,,1166074,,3598,29804,,,,,,,,,,,10.636,29804,88.102
1/8/24,USA,103436829,,1166074,,3691,30543,,,,,,,,,,,10.911,30543,90.286
1/9/24,USA,103436829,,1166074,,3649,29731,,,,,,,,,,,10.787,29731,87.886
1/10/24,USA,103436829,,1166074,,3555,29208,,,,,,,,,,,10.509,29208,86.34
1/11/24,USA,103436829,,1166074,,3512,28488,,,,,,,,,,,10.382,28488,84.212
1/12/24,USA,103436829,,1166074,,3421,27777,,,,,,,,,,,10.113,27777,82.11
1/13/24,USA,103436829,,1166074,,3285,26693,,,,,,,,,,,9.711,26693,78.906
1/14/24,USA,103436829,,1168206,,3281,26979,,,,,,,,,,,9.699,26979,79.751
1/15/24,USA,103436829,,1168206,,3422,27335,,,,,,,,,,,10.116,27335,80.803
1/16/24,USA,103436829,,1168206,,3430,26994,,,,,,,,,,,10.139,26994,79.795
1/17/24,USA,103436829,,1168206,,3341,26325,,,,,,,,,,,9.876,26325,77.818
1/18/24,USA,103436829,,1168206,,3243,25369,,,,,,,,,,,9.586,25369,74.992
1/19/24,USA,103436829,,1168206,,3132,24393,,,,,,,,,,,9.258,24393,72.107
1/20/24,USA,103436829,,1168206,,3010,23405,,,,,,,,,,,8.898,23405,69.186
1/21/24,USA,103436829,,1169850,,2950,23294,,,,,,,,,,,8.72,23294,68.858
1/22/24,USA,103436829,,1169850,,3028,23755,,,,,,,,,,,8.951,23755,70.221
1/23/24,USA,103436829,,1169850,,2997,23367,,,,,,,,,,,8.859,23367,69.074
1/24/24,USA,103436829,,1169850,,2966,22838,,,,,,,,,,,8.768,22838,67.51
1/25/24,USA,103436829,,1169850,,2895,22283,,,,,,,,,,,8.558,22283,65.87
1/26/24,USA,103436829,,1169850,,2780,21587,,,,,,,,,,,8.218,21587,63.812
1/27/24,USA,103436829,,1169850,,2643,20811,,,,,,,,,,,7.813,20811,61.518
1/28/24,USA,103436829,,1170784,,2651,21012,,,,,,,,,,,7.836,21012,62.112
1/29/24,USA,103436829,,1170784,,2633,21252,,,,,,,,,,,7.783,21252,62.822
1/30/24,USA,103436829,,1170784,,2630,20729,,,,,,,,,,,7.774,20729,61.276
1/31/24,USA,103436829,,1170784,,2599,20348,,,,,,,,,,,7.683,20348,60.15
2/1/24,USA,103436829,,1170784,,2555,19939,,,,,,,,,,,7.553,19939,58.941
2/2/24,USA,103436829,,1170784,,2507,19356,,,,,,,,,,,7.411,19356,57.217
2/3/24,USA,103436829,,1170784,,2400,18776,,,,,,,,,,,7.095,18776,55.503
2/4/24,USA,103436829,,1170784,,2411,18938,,,,,,,,,,,7.127,18938,55.982
2/5/24,USA,,,,,2477,19329,,,,,,,,,,,7.322,19329,57.137
2/6/24,USA,,,,,2381,19142,,,,,,,,,,,7.038,19142,56.585
2/7/24,USA,,,,,2421,18461,,,,,,,,,,,7.157,18461,54.572
2/8/24,USA,,,,,2331,17867,,,,,,,,,,,6.891,17867,52.816
