Location,date,total_cases,new_cases,total_death,new_death,total cases / million,new cases / million,total deaths / million,new death / million,icu,icu / million,hosp,hosp / million
USA,5/1/20,922947,0,53434,0,2728.273,0,157.953,0,,,,
USA,5/2/20,922947,0,53434,0,2728.273,0,157.953,0,,,,
USA,5/3/20,1121383,198436,67069,13635,3314.858,586.586,198.259,40.306,,,,
USA,5/4/20,1121383,0,67069,0,3314.858,0,198.259,0,,,,
USA,5/5/20,1121383,0,67069,0,3314.858,0,198.259,0,,,,
USA,5/6/20,1121383,0,67069,0,3314.858,0,198.259,0,,,,
USA,5/7/20,1121383,0,67069,0,3314.858,0,198.259,0,,,,
USA,5/8/20,1121383,0,67069,0,3314.858,0,198.259,0,,,,
USA,5/9/20,1121383,0,67069,0,3314.858,0,198.259,0,,,,
USA,5/10/20,1303629,182246,79827,12758,3853.586,538.727,235.972,37.713,,,,
USA,5/11/20,1303629,0,79827,0,3853.586,0,235.972,0,,,,
USA,5/12/20,1303629,0,79827,0,3853.586,0,235.972,0,,,,
USA,5/13/20,1303629,0,79827,0,3853.586,0,235.972,0,,,,
USA,5/14/20,1303629,0,79827,0,3853.586,0,235.972,0,,,,
USA,5/15/20,1303629,0,79827,0,3853.586,0,235.972,0,,,,
USA,5/16/20,1303629,0,79827,0,3853.586,0,235.972,0,,,,
USA,5/17/20,1472661,169032,89957,10130,4353.252,499.666,265.917,29.945,,,,
USA,5/18/20,1472661,0,89957,0,4353.252,0,265.917,0,,,,
USA,5/19/20,1472661,0,89957,0,4353.252,0,265.917,0,,,,
USA,5/20/20,1472661,0,89957,0,4353.252,0,265.917,0,,,,
USA,5/21/20,1472661,0,89957,0,4353.252,0,265.917,0,,,,
USA,5/22/20,1472661,0,89957,0,4353.252,0,265.917,0,,,,
USA,5/23/20,1472661,0,89957,0,4353.252,0,265.917,0,,,,
USA,5/24/20,1638986,166325,98515,8558,4844.916,491.664,291.215,25.298,,,,
USA,5/25/20,1638986,0,98515,0,4844.916,0,291.215,0,,,,
USA,5/26/20,1638986,0,98515,0,4844.916,0,291.215,0,,,,
USA,5/27/20,1638986,0,98515,0,4844.916,0,291.215,0,,,,
USA,5/28/20,1638986,0,98515,0,4844.916,0,291.215,0,,,,
USA,5/29/20,1638986,0,98515,0,4844.916,0,291.215,0,,,,
USA,5/30/20,1638986,0,98515,0,4844.916,0,291.215,0,,,,
USA,5/31/20,1785422,146436,105325,6810,5277.788,432.871,311.345,20.131,,,,
USA,6/1/20,1785422,0,105325,0,5277.788,0,311.345,0,,,,
USA,6/2/20,1785422,0,105325,0,5277.788,0,311.345,0,,,,
USA,6/3/20,1785422,0,105325,0,5277.788,0,311.345,0,,,,
USA,6/4/20,1785422,0,105325,0,5277.788,0,311.345,0,,,,
USA,6/5/20,1785422,0,105325,0,5277.788,0,311.345,0,,,,
USA,6/6/20,1785422,0,105325,0,5277.788,0,311.345,0,,,,
USA,6/7/20,1935202,149780,111312,5987,5720.544,442.756,329.043,17.698,,,,
USA,6/8/20,1935202,0,111312,0,5720.544,0,329.043,0,,,,
USA,6/9/20,1935202,0,111312,0,5720.544,0,329.043,0,,,,
USA,6/10/20,1935202,0,111312,0,5720.544,0,329.043,0,,,,
USA,6/11/20,1935202,0,111312,0,5720.544,0,329.043,0,,,,
USA,6/12/20,1935202,0,111312,0,5720.544,0,329.043,0,,,,
USA,6/13/20,1935202,0,111312,0,5720.544,0,329.043,0,,,,
USA,6/14/20,2087078,151876,116682,5370,6169.496,448.952,344.917,15.874,,,,
USA,6/15/20,2087078,0,116682,0,6169.496,0,344.917,0,,,,
USA,6/16/20,2087078,0,116682,0,6169.496,0,344.917,0,,,,
USA,6/17/20,2087078,0,116682,0,6169.496,0,344.917,0,,,,
USA,6/18/20,2087078,0,116682,0,6169.496,0,344.917,0,,,,
USA,6/19/20,2087078,0,116682,0,6169.496,0,344.917,0,,,,
USA,6/20/20,2087078,0,116682,0,6169.496,0,344.917,0,,,,
USA,6/21/20,2267099,180021,121137,4455,6701.646,532.15,358.086,13.169,,,,
USA,6/22/20,2267099,0,121137,0,6701.646,0,358.086,0,,,,
USA,6/23/20,2267099,0,121137,0,6701.646,0,358.086,0,,,,
USA,6/24/20,2267099,0,121137,0,6701.646,0,358.086,0,,,,
USA,6/25/20,2267099,0,121137,0,6701.646,0,358.086,0,,,,
USA,6/26/20,2267099,0,121137,0,6701.646,0,358.086,0,,,,
USA,6/27/20,2267099,0,121137,0,6701.646,0,358.086,0,,,,
USA,6/28/20,2525377,258278,127218,6081,7465.128,763.481,376.062,17.976,,,,
USA,6/29/20,2525377,0,127218,0,7465.128,0,376.062,0,,,,
USA,6/30/20,2525377,0,127218,0,7465.128,0,376.062,0,,,,
USA,7/1/20,2525377,0,127218,0,7465.128,0,376.062,0,,,,
USA,7/2/20,2525377,0,127218,0,7465.128,0,376.062,0,,,,
USA,7/3/20,2525377,0,127218,0,7465.128,0,376.062,0,,,,
USA,7/4/20,2525377,0,127218,0,7465.128,0,376.062,0,,,,
USA,7/5/20,2867543,342166,131669,4451,8476.586,1011.458,389.219,13.157,,,,
USA,7/6/20,2867543,0,131669,0,8476.586,0,389.219,0,,,,
USA,7/7/20,2867543,0,131669,0,8476.586,0,389.219,0,,,,
USA,7/8/20,2867543,0,131669,0,8476.586,0,389.219,0,,,,
USA,7/9/20,2867543,0,131669,0,8476.586,0,389.219,0,,,,
USA,7/10/20,2867543,0,131669,0,8476.586,0,389.219,0,,,,
USA,7/11/20,2867543,0,131669,0,8476.586,0,389.219,0,,,,
USA,7/12/20,3259748,392205,137198,5529,9635.961,1159.376,405.563,16.344,,,,
USA,7/13/20,3259748,0,137198,0,9635.961,0,405.563,0,,,,
USA,7/14/20,3259748,0,137198,0,9635.961,0,405.563,0,,,,
USA,7/15/20,3259748,0,137198,0,9635.961,0,405.563,0,9245,27.329,33760,99.796
